sample,SIG1,SIG2,SIG3,SIG4,SIG5,SIG6,NOISE1,NOISE2,NOISE3,NOISE4,NOISE5,NOISE6,NOISE7,NOISE8,NOISE9,NOISE10,NOISE11,NOISE12,NOISE13,NOISE14,NOISE15,NOISE16,NOISE17,NOISE18,NOISE19,NOISE20,NOISE21,NOISE22,NOISE23,NOISE24,label
S001,1.4278885736085973,0.3412693332656289,-0.28904039893196465,1.2281755419616613,0.550643270363386,1.6576428238977645,0.30512126912367865,-1.1025821998187277,-1.2462723673438925,1.772814764133022,1.8455525526850696,-0.0576323813808281,-0.2613004892342152,1.5833311241439747,-0.9851588501417154,-0.7728401870540539,0.7652136265908169,-0.2727182909578171,0.11676496518170125,-0.04155606662274003,0.4594613807007061,1.5293686932154893,0.2124717388035181,0.7658256251786304,-1.92828526912925,0.0731684299716546,-0.7213434383910986,-1.0969262285218555,-0.7562655350269782,-0.21223660879903952,0
S002,0.49990889985981485,-1.7423863602357623,-0.3853621499017808,-0.9001630758297767,-0.7436667368581591,0.5867641828084058,0.12212179450772781,0.9214044649465454,-0.5704993217460987,-1.1119362541669013,-0.6398524593766978,-0.17349685122497666,-0.23942028404248722,-1.5003817147295648,-0.32550386086832406,-0.1877653123572931,2.101480395037722,1.4608509687854718,-1.2692369930550182,-0.7033770040453744,-1.8794356443332014,-1.0067006564596848,-0.10038863890585775,0.7898599783920353,-1.1450774802398067,-1.0701400825639948,-2.563282672234853,-0.5786595630411059,-1.4784080543557614,-0.9454330698622719,0
S003,-0.5766802998450054,0.20591792407002596,-1.4575479130340483,-1.1668647670684076,2.429427590350881,-0.987242102951448,-0.7966051001320567,2.137094006643897,3.20524764756299,-0.8713861505027587,-0.06806847846544761,0.6417360292630925,2.0288781227281754,-0.6866766001056546,0.05490263238047319,1.077518054384327,0.7349465527892016,-0.07597559290751632,0.1663575138065418,-1.0747153300473988,0.0620067343479177,0.033792988313627814,0.5323503679488388,-0.2551467404964331,0.7717190008677219,1.3128962961424115,0.45560980599104894,0.6519368867217864,0.3533358259004503,0.3002648714139971,0
S004,-0.34533214698636183,0.6927201482297936,0.2789392881429961,2.46939419548708,1.949580789031728,0.7620724391129864,-0.38683132313828195,-0.7361855854269324,1.5673688396453507,0.6389751117036241,0.8563692899480964,-1.368360100417707,1.3036643681146662,0.8306462247708486,-0.7342047978579924,-0.09529892089346337,0.6399430909130052,0.4286926849127292,0.08405470075293059,0.27273761849052475,0.12424850834960022,0.5287883986589541,1.8477178595496426,-2.190432554374812,0.13937562204680135,0.5527383079289325,0.6722198762435851,0.004311305235195739,-1.380495895922097,0.7042213702705953,0
S005,0.9469361387026504,-2.314275480377672,0.08341393823665366,-1.1089392985844286,-0.8417384212903819,-1.8333125861654835,-1.1148702478174113,0.5196305192374239,-0.1977588334738276,0.9518975299484095,0.39699781351615904,-0.3413273965319584,0.9635204507062575,-0.3414209167232359,0.04757410133552431,-1.076985028996243,-0.7138682596023298,-1.4778378987618115,0.20916985913331843,-1.9587176985764003,0.0019362669561266976,-0.9710651329666941,0.39083301800578474,-0.029545086730274783,1.040232082185267,-0.049639384322889835,-2.3524543311147754,-0.8473672483597354,-1.9524212680563506,-1.2986939178278094,0
S006,0.9903566305317943,0.11666200815276873,-1.2198022313236736,-1.5345891691853262,-0.4880897098686665,-1.737431952126055,-1.1920120801415084,-0.20886233119368341,0.6344402333617689,0.08788966947951249,-2.8121613113430275,-0.21650507371466748,-0.44883822951234936,-0.10698151737223421,1.09533787890628,-2.58411007954967,-1.1119752279360329,0.07003452004842736,-2.10246620219887,0.9550772453085816,-0.1525151900442689,0.3257121830984767,-1.091815464266722,0.29289188722128323,0.547599753244111,-0.28799378260775893,-0.2864709100462314,-0.2505285634632014,-1.3842170674843088,-0.6684004829852802,0
S007,-0.10138637118544466,0.43453002562040927,1.0509604081772088,-1.0073999207114952,-0.07387286905266349,1.5325917089258874,-0.69245206754565,-0.7711138560234062,0.25344235309810775,0.8955213517522342,0.06256221682757349,1.3800967517039033,0.907930143833441,0.892956228156976,0.6052526625910074,2.378789261612999,-0.15402552759913005,-1.9523861307995998,1.655390522784055,-0.40656326968991147,0.15901660560994718,1.360686846127441,-1.5511233797920112,-1.2005110528392253,-1.5501417758519396,-0.7430001287585097,0.49077276728390773,0.5753240040796851,0.3274103405954679,-1.3616297226254523,0
S008,-2.436600473570077,-0.07214345154705062,-0.5982730705757686,0.3328887347791789,0.5754565892838372,0.01174439512124903,0.6336360484384209,0.10271433717763553,0.4035676686640338,-0.8311702998073153,-0.3061084507688914,0.07027905971952436,0.6940314384799859,-0.520238209162005,0.3946702187946798,-0.39233582885281193,-0.24403920426556325,0.7030220050866401,-2.119557407991589,-1.422969365012194,-1.6086824343802537,-2.4601131567857375,-0.8047614770926096,0.6229368627903076,-0.41138110332000766,0.07129304500441924,0.9627204597733597,1.2011890953302586,-0.19563497166357244,1.2270888526319643,0
S009,0.0854061954323937,-0.8441186868291776,-0.6011208152004507,-1.4872569755667318,-0.8948543167353679,-0.3647371510761447,0.7968645563768861,1.7140493681642683,-1.3889019783787555,0.3861070052582034,-1.0472644021592499,0.46797662546148644,-0.13780711368944212,-1.8376262888492458,0.9215765285667689,-0.6117211758104465,-0.5406207013752701,-1.0764728742914054,-0.661003739689271,0.4211699776932017,-0.19596480393812105,0.3219415392807655,0.35520139092712816,1.3139411925264515,-0.34950661386609483,-1.4835782798474473,1.0605019535702676,-0.3382086350989702,1.1078719815756615,0.3766566501807549,0
S010,-0.472355101232777,0.007558323016863044,1.6097949890968675,1.735762958024321,-0.27183643589665335,-0.18102697771235676,0.7350225864369535,-1.1868786037967793,-0.008147198411176948,-0.36708041898328847,-0.027309359571878467,-1.1745863769788378,-1.930785064338401,-2.414201007020724,-1.45860168401904,-0.799892855968765,-0.6344091576781938,1.5960135914000848,0.7647757988778661,-1.3033086873710593,0.0064908814215248745,-0.7482958073797572,-0.6255814090695272,-0.15589192161405005,0.2779535459459612,-0.6804760549134474,0.7226339617049264,-1.483155797171836,-0.3348785086671636,2.2564561555664002,0
