# synthetic, for demo only — 593 CASE module (seed 593)
# 400 samples x 200 SNPs x 3 cell types; true eQTL: rs0030 (shared, 3 cell types), rs0150 (specific, cell types 1-2)
sample,CellType_1,CellType_2,CellType_3
S001,-0.229456484386529,-1.13098060447468,1.95138274517088
S002,0.813807361341795,0.172032416251087,1.02151493534504
S003,0.0219189418908549,0.392303155824047,-1.75165106433104
S004,-0.57777580388955,0.165409903371818,1.74844364485003
S005,1.56596677895456,0.391043785019009,-0.17269394991961
S006,0.611213522619781,-2.07040426705574,-0.514445337036978
S007,-0.986921416260667,1.12616072186783,1.67146575168495
S008,0.91896239304639,-1.23083593504329,2.18949148838224
S009,-0.24763911264705,0.813417536574655,1.26224729231405
S010,0.142736353208979,1.26420599714636,-0.0677569906451028
S011,-1.10353236927107,-2.30326184900473,-0.0576781562123768
S012,-1.21655083695321,-0.16408032422687,-0.0412390086513536
S013,-3.00178889356059,-1.53395043430234,1.14194723545411
S014,0.735094396092014,0.244000767111165,-0.303804974875886
S015,-0.516097217634497,2.29897376307844,0.333581871594983
S016,-1.46003690963064,-0.524514014450022,0.557044350745903
S017,1.08553151151441,0.478548491239919,-0.752479073425203
S018,-2.06936030050554,-0.654997317560738,0.342656191192178
S019,1.27306305505083,-0.662024984639444,-0.853379843589268
S020,-0.690112271316613,0.513079055731397,-0.638542832410726
S021,-0.666906202050291,0.21651861491259,-1.28329133707067
S022,1.35061947826845,1.01286884564422,1.25683366574003
S023,-1.84148419797012,2.05941260973288,-0.195575322004691
S024,0.0764641006736267,-0.653147413770084,-0.719784365482321
S025,0.656766301247788,0.021398806765638,2.11531207875439
S026,-0.496498940081443,1.0628560092076,0.557424215126603
S027,-0.60316245213256,0.565057234951583,-2.19788466566946
S028,1.53209682731181,1.55028757711247,2.0785522560217
S029,2.32682370463098,0.457157510191121,1.23368268896358
S030,1.56345834641334,0.840764941374291,1.46467605015568
S031,0.774380463466322,0.415333919659874,1.61348686663951
S032,-1.15963692994081,-0.768345650445741,-1.36340466020712
S033,-0.867726663312538,0.727059806861998,1.37687944237526
S034,0.353352123936419,-3.83437884258762,-0.511619159760628
S035,1.38306002852446,0.40158334221612,0.19160736114202
S036,-1.34274311417475,-0.864351470835909,-1.08562469048078
