DC001	in_pathway	PATHWAY03
DC002	in_pathway	PATHWAY06
DC003	in_pathway	PATHWAY04
DC004	in_pathway	PATHWAY01
DC005	in_pathway	PATHWAY05
DC006	in_pathway	PATHWAY06
DC007	in_pathway	PATHWAY02
DC008	in_pathway	PATHWAY03
DC009	in_pathway	PATHWAY03
DC010	in_pathway	PATHWAY05
DC011	in_pathway	PATHWAY01
DC012	in_pathway	PATHWAY02
DC013	in_pathway	PATHWAY06
DC014	in_pathway	PATHWAY05
DC015	in_pathway	PATHWAY01
DC016	in_pathway	PATHWAY06
DC017	in_pathway	PATHWAY02
DC018	in_pathway	PATHWAY05
DC019	in_pathway	PATHWAY03
DC020	in_pathway	PATHWAY05
DC021	in_pathway	PATHWAY03
DC022	in_pathway	PATHWAY04
DC023	in_pathway	PATHWAY05
DC024	in_pathway	PATHWAY02
PATHWAY01	part_of	PATHWAY_ROOT
PATHWAY02	part_of	PATHWAY_ROOT
PATHWAY03	part_of	PATHWAY_ROOT
PATHWAY04	part_of	PATHWAY_ROOT
PATHWAY05	part_of	PATHWAY_ROOT
PATHWAY06	part_of	PATHWAY_ROOT
TF01	in_pathway	PATHWAY01
TF01	interacts_with	TG002
TF01	interacts_with	TG003
TF01	interacts_with	TG004
TF02	in_pathway	PATHWAY04
TF02	interacts_with	TG006
TF02	interacts_with	TG007
TF02	interacts_with	TG008
TF03	in_pathway	PATHWAY01
TF04	in_pathway	PATHWAY04
TF05	in_pathway	PATHWAY01
TF06	in_pathway	PATHWAY04
TF07	in_pathway	PATHWAY01
TF08	in_pathway	PATHWAY04
TG002	in_pathway	PATHWAY01
TG003	in_pathway	PATHWAY01
TG004	in_pathway	PATHWAY01
TG004	interacts_with	TG018
TG004	interacts_with	TG020
TG006	in_pathway	PATHWAY04
TG006	interacts_with	TG007
TG006	interacts_with	TG017
TG007	in_pathway	PATHWAY04
TG007	interacts_with	TG001
TG007	interacts_with	TG003
TG007	interacts_with	TG012
TG008	in_pathway	PATHWAY04
TG008	interacts_with	TG015
TG009	interacts_with	TG031
TG010	in_pathway	PATHWAY01
TG010	interacts_with	TG020
TG011	in_pathway	PATHWAY01
TG011	interacts_with	TG005
TG012	in_pathway	PATHWAY01
TG012	interacts_with	TG008
TG012	interacts_with	TG025
TG012	interacts_with	TG029
TG013	interacts_with	TG012
TG013	interacts_with	TG030
TG014	in_pathway	PATHWAY04
TG014	interacts_with	TG031
TG015	in_pathway	PATHWAY04
TG016	in_pathway	PATHWAY04
TG016	interacts_with	TG001
TG017	interacts_with	TG002
TG017	interacts_with	TG032
TG018	in_pathway	PATHWAY01
TG018	interacts_with	TG006
TG018	interacts_with	TG016
TG019	in_pathway	PATHWAY01
TG019	interacts_with	TG020
TG020	in_pathway	PATHWAY01
TG021	interacts_with	TG007
TG022	in_pathway	PATHWAY04
TG022	interacts_with	TG006
TG022	interacts_with	TG010
TG022	interacts_with	TG030
TG023	in_pathway	PATHWAY04
TG023	interacts_with	TG028
TG024	in_pathway	PATHWAY04
TG025	interacts_with	TG006
TG025	interacts_with	TG007
TG025	interacts_with	TG008
TG025	interacts_with	TG010
TG026	in_pathway	PATHWAY01
TG026	interacts_with	TG014
TG026	interacts_with	TG023
TG026	interacts_with	TG031
TG027	in_pathway	PATHWAY01
TG028	in_pathway	PATHWAY01
TG028	interacts_with	TG029
TG028	interacts_with	TG030
TG029	interacts_with	TG024
TG030	in_pathway	PATHWAY04
TG030	interacts_with	TG025
TG031	in_pathway	PATHWAY04
TG032	in_pathway	PATHWAY04
TG032	interacts_with	TG025
