"spot","x","y"
"spot0001",0.914806043496355,0.498156590387225
"spot0002",0.937075413297862,0.282764225266874
"spot0003",0.286139534786344,0.776445082388818
"spot0004",0.830447626067325,0.3038527618628
"spot0005",0.641745518893003,0.515551181975752
"spot0006",0.519095949130133,0.477950773201883
"spot0007",0.736588314641267,0.768852224573493
"spot0008",0.13466659723781,0.163928855676204
"spot0009",0.656992290401831,0.441774149890989
"spot0010",0.705064784036949,0.523407669737935
"spot0011",0.45774177624844,0.476919188629836
"spot0012",0.719112251652405,0.524643287761137
"spot0013",0.934672247152776,0.685228247195482
"spot0014",0.255428824340925,0.351792022120208
"spot0015",0.462292822543532,0.839631285285577
"spot0016",0.940014522755519,0.921913691563532
"spot0017",0.978226428385824,0.106309621362016
"spot0018",0.117487361654639,0.206528918119147
"spot0019",0.474997081561014,0.486642911797389
"spot0020",0.560332746244967,0.323822023812681
"spot0021",0.904031387297437,0.471713925013319
"spot0022",0.138710167724639,0.586088502081111
"spot0023",0.988891728920862,0.223950012587011
"spot0024",0.946668232558295,0.734029720071703
"spot0025",0.0824375580996275,0.150484099052846
"spot0026",0.514211784349754,0.697553366888314
"spot0027",0.390203467104584,0.264107904862612
"spot0028",0.905738130910322,0.426464922260493
"spot0029",0.446969628101215,0.721333573339507
"spot0030",0.836004259996116,0.474471707129851
"spot0031",0.737595617771149,0.338586960919201
"spot0032",0.811055141268298,0.240592138841748
"spot0033",0.388108282815665,0.216259677894413
"spot0034",0.685169729404151,0.24205811903812
"spot0035",0.00394833879545331,0.564904673025012
"spot0036",0.832916080253199,0.712568088900298
"spot0037",0.00733414688147604,0.108096597949043
"spot0038",0.207658972823992,0.519075873540714
"spot0039",0.906601407798007,0.852190344594419
"spot0040",0.611778643447906,0.714631942100823
"spot0041",0.379559240536764,0.313981684856117
"spot0042",0.435771584976465,0.115817142417654
"spot0043",0.0374310328625143,0.575004067504779
"spot0044",0.973539913771674,0.831371922045946
"spot0045",0.431751248892397,0.520339757902548
"spot0046",0.957576596643776,0.694011028623208
"spot0047",0.887754905503243,0.499903989490122
"spot0048",0.639978769468144,0.354160398710519
"spot0049",0.970966610359028,0.964804159011692
"spot0050",0.618838207330555,0.922261254163459
"spot0051",0.333427211269736,0.204592706635594
"spot0052",0.346748248208314,0.954902932746336
"spot0053",0.39848541142419,0.873992832377553
"spot0054",0.784692775690928,0.697344831423834
"spot0055",0.038936491124332,0.51259378483519
"spot0056",0.748795386170968,0.480816515395418
"spot0057",0.67727683018893,0.201800923096016
"spot0058",0.171264330390841,0.100229354342446
"spot0059",0.261087963823229,0.472588874632493
"spot0060",0.514412934659049,0.312179648084566
"spot0061",0.67560727451928,0.772399305133149
"spot0062",0.982817197917029,0.901074001332745
"spot0063",0.759544267551973,0.335229284130037
"spot0064",0.566488424083218,0.823944246396422
"spot0065",0.849689718568698,0.22003285982646
"spot0066",0.18947393540293,0.766123738372698
"spot0067",0.271286614704877,0.560707851080224
"spot0068",0.828158485237509,0.423455537762493
"spot0069",0.693204820388928,0.838569788262248
"spot0070",0.240544739644974,0.287320587551221
"spot0071",0.0429887960199267,0.470720700686797
"spot0072",0.140479094116017,0.780844533350319
"spot0073",0.21638541505672,0.0827168372925371
"spot0074",0.479398564202711,0.394517550244927
"spot0075",0.197410342283547,0.0956614073365927
"spot0076",0.719355837674811,0.13333323597908
"spot0077",0.00788473873399198,0.221126178046688
"spot0078",0.375489964615554,0.274119541049004
"spot0079",0.514407708309591,0.299059249693528
"spot0080",0.00157055421732366,0.374786772532389
"spot0081",0.581604002509266,0.491452492540702
"spot0082",0.157905208179727,0.878602623473853
"spot0083",0.359028305858374,0.748729828745127
