# synthetic, for demo only -- NOT real scRNA-seq metacells
# rows = genes, columns = metacells (pseudobulked cell groups)
Row.names,MC00,MC01,MC02,MC03,MC04,MC05,MC06,MC07,MC08,MC09,MC10,MC11,MC12,MC13,MC14,MC15,MC16,MC17,MC18,MC19,MC20,MC21,MC22,MC23,MC24,MC25,MC26,MC27,MC28,MC29,MC30,MC31,MC32,MC33,MC34,MC35,MC36,MC37,MC38,MC39,MC40,MC41,MC42,MC43,MC44,MC45,MC46,MC47,MC48,MC49
DriverA,14.910586685965608,14.870996759785303,18.805251239126743,19.076015847511034,21.9673724093005,17.95825599442772,21.125519277638467,22.20679448031757,21.450496908449075,10.904088281169077,21.68605115761026,19.018860024745926,19.27131405856004,19.113682253208776,19.148271480812284,18.958242660757143,16.92326007438414,12.295094104872017,17.67325581627773,15.58880445443797,21.240490237613656,17.133700482013868,18.25042606832103,15.45118213316957,16.46813259630562,17.96540081494024,13.543874447209365,18.902055342883816,17.68178323965675,14.4428405849843,10.805301403806686,19.539156401640916,17.107247883170007,16.409974760345523,17.291536110441175,23.449427822643433,17.85059709282107,18.259857788965626,13.538781390973806,22.9420171990683,20.75246395033288,21.200804601015538,18.14301819363504,20.749964366473787,19.11284050528323,19.839567233577018,17.54342112477513,13.578336155874123,21.086563043409548,12.195121090170879
DriverB,15.280189986225892,15.386432534801017,12.871419577046487,17.83936940900974,15.399010895771294,14.689395023208155,17.559525192932924,14.570262878324758,20.166939924514924,17.05436522856194,14.577001039496682,10.167205072043368,12.076740409296558,19.26049235430509,15.848187810665973,15.150624802961396,20.92975484272809,12.152052267778306,14.243026600475922,14.582236969724548,17.7590118445939,14.009394405087859,14.159746454157915,11.18455180934466,18.18804821205357,18.418418075545066,14.570869757796514,16.490019836623897,12.122061631721976,14.584560535777294,20.133852858167565,16.407192202201404,22.931090460387665,13.638421773528528,17.740853250172922,15.413482516500693,17.69745354048428,15.97836592102373,14.316405668772523,13.397149707034892,25.19811021714669,15.767964820827352,9.950017929300264,14.054198176289995,18.03411918137199,14.499974700445755,20.081338607455773,19.00719481853187,15.542984092527293,14.58335217167187
Decoy1,21.98559697891691,22.900100373060027,20.580570776003125,28.613188874599253,29.772102361378185,21.2315857908168,21.45495107294061,19.69446442873925,22.108437307803477,15.680989596150125,21.57316313010424,28.890746199401573,23.962982411606603,27.563752704560226,23.533092808473864,30.28200189097937,25.59765394904157,23.85399312356956,32.657272076113244,24.026584431143682,21.336329950821593,25.60573000588033,24.88349488432576,28.198973659498773,22.235098226506565,27.41415079443849,27.558245411722872,22.996938124194788,25.489732017168034,22.507744129436986,32.037424221522,22.8875813131595,23.64077666899386,21.802485934109875,23.96163617448048,24.982371919909287,27.30336740603406,23.1685400618029,24.442678123985242,20.750531900757874,22.517793319701536,33.267422674827856,28.123729575084386,22.655727874968054,20.987808275415127,22.073251508201025,24.934927421458795,25.10418336507757,22.76691819720743,21.140276599787068
Decoy2,26.267135515745338,23.35505635388529,20.876295941296195,21.33801637655174,20.411408622622993,13.191863661948663,22.346985481277876,18.788366770912702,18.99194710290154,20.07921278382888,24.196905144133893,18.48840757477695,17.697155620977632,23.919556225517134,24.263106713918653,19.123198876617334,23.687193031878877,21.125102708755744,22.903876529660682,18.217119159803396,24.498683348082505,25.609776862349495,23.91121970687855,23.67501988508543,10.6831745316318,22.78188924720082,21.92366404992237,21.558863479461,20.10826603008694,22.166094924740662,23.236352215385,21.208635518378124,20.610027580870387,25.689261432817815,18.683898678192623,25.09046559347163,22.530437391191573,19.58708306415272,21.13005431179206,19.24001919156341,24.02519355522832,23.043705285911415,20.329611474540457,18.69334510283733,22.905148280503212,24.872156820525795,21.658490951854354,23.25505750266767,20.87191854835077,22.20270761802828
MidTF1,29.12579081015847,30.254858474170188,30.779490452020102,35.371808425342806,36.66043785384438,33.62662800598181,35.555459864784005,38.012497122996535,34.432287918060574,27.878524283271748,33.41773379305745,31.94491733534969,34.75988687869935,37.04867406485171,34.71557216444869,33.46390988341174,28.972145428985023,26.578675785123504,32.57031391699512,33.80184566535295,37.60108788807294,28.985171613373915,37.26984474168329,29.48613991850617,29.585372729897166,35.866561586526714,28.17334771169796,33.16590642986312,33.05659651640629,30.906846932864866,27.38312915219097,31.81947250060292,36.01253637398707,33.17693047779672,31.450734565614994,37.03962878758098,30.858309750449568,33.47294983538336,26.971477259616368,36.61425250372169,37.466758127576135,37.04428916036786,32.314330436468914,37.31011912482837,36.856862634897595,32.6964148625242,31.267115038448196,30.194299042251476,37.633044391608905,27.3096222774971
MidTF2,40.787528208046965,36.37639671411754,33.46085103986497,38.90083464784769,38.80857962717589,36.36929206125799,39.42199806001667,35.91039572339976,41.367661614302804,37.95829096412838,38.601044912409606,35.71470006033187,34.78404277630568,41.42497388226298,37.78250021157867,39.41526740516115,43.4337909552174,38.997141733299735,35.39183029381728,38.595559571885296,41.453658194827334,36.66368451411615,38.679189187086926,32.11097199065366,45.16726848562858,38.44101532267298,39.700525348770654,37.246839181083985,38.085150458517454,37.10297779350939,42.89729522338002,39.52550251886533,47.15504556783508,36.42674319577996,34.61590253833795,37.055651328535205,40.880875041921314,38.174069802640986,39.1846696012737,38.89580104260092,46.58133408333478,35.897214771712164,36.70899033142522,39.588682600361345,40.20068943012154,42.01734151078103,41.838146307453094,39.35037278694693,38.373888936923585,40.02716812254557
MidTF3,35.76590083163437,42.20401898279679,34.8325740644198,44.3383222838069,44.35575854341582,36.78789379337859,39.418463201969914,32.98578567794651,40.444707781442155,32.95813740101381,36.25793914532647,44.128370830416515,41.189336793947234,43.21081376934641,42.75793593607667,45.79670642715013,42.81766014714584,37.911062269408596,45.56451871314974,40.24145864445419,37.13620480668193,40.85975258591814,40.58685118183028,43.8186803944703,37.61786342842923,40.863531795635296,40.01061239342273,36.5880728819724,42.51757191666382,37.84903456090207,46.477497879994104,35.69779567019375,34.960397483652436,35.41032103572699,41.361819997735964,41.942238691455856,42.14716251804104,36.89118571511665,39.15453063534637,36.15290846971172,37.33539174080734,40.780186914583254,40.35997326968117,37.744783285961084,39.95272559826293,38.02562733870632,42.573580052840114,39.10668308018021,37.69996282302886,29.231190326086416
MidTF4,54.92787755226995,53.030481402572946,53.706143503436664,49.53250437829963,50.03728663515009,43.318613836556274,48.86896277384537,47.271879318789935,48.1524550223248,52.32429756647851,52.53766001170151,46.90430750668614,48.20808377669883,52.771714117630474,51.22771557893341,51.22198867016977,48.395107161214234,49.92796254853691,52.94649501956461,45.616164130761504,53.46973227069646,56.12087639553726,53.238002591359425,48.782853198124876,41.494392815126,53.99446970685376,51.51797431558679,50.64290943917524,50.5164240707563,52.53530708286768,50.43518766544281,49.8334839412003,50.275644378825845,52.50353658150879,48.35711483447683,55.76259528624131,49.41592112570864,53.1177825662841,54.11725169265192,45.59147868141748,52.1294324714882,52.40089722826884,48.26923459168743,47.14855531131815,51.14243328089572,54.490407326730775,49.71060450254014,55.518769497770776,50.75546940255784,50.91402031667833
Gene01,32.53334280100342,31.817804053396035,34.887585539576676,37.61533787859581,45.30879683581306,37.52315253694208,39.66133613786206,39.86929374175339,40.11620613001755,23.09027705331256,35.261802314914675,34.75398081711242,38.474905161901034,42.30132811469181,38.341008102017376,38.17019803890194,28.65685150202315,25.33424876649381,35.020705696048594,35.88412942980562,42.134853266832934,32.89565718962185,38.22813503661001,31.08877230349816,32.09795640631572,35.31411274470261,28.084726543130028,35.61873227741319,31.385226408102362,32.69619100793525,24.153192871024117,33.915454349033254,36.49919933969768,34.55831815987356,36.52985839060034,42.853676533569285,34.39983780693736,38.75619861558357,27.772677326480178,44.55568624270914,40.446158463932456,42.93878808519614,34.812770047493764,43.41254887320319,37.56514905452619,35.04780464816754,36.09588344891219,29.090839608812626,41.08931212375873,26.077527402829073
Gene02,44.23502300323229,49.099016735078735,47.02057616265327,52.8526689895895,56.79249374136234,50.86979482642229,53.0883954581443,55.54118876499595,54.92217753150715,39.877040241071555,54.76275417400519,47.49213392200968,51.71772474526237,54.511927875444265,50.205978795918874,52.9441136388679,46.83748184169946,39.84033823043765,47.05254467188649,46.459262997350386,56.410361341328525,44.71455234154922,51.28554034092389,45.791846526977906,51.579083284025174,53.32134410855836,45.49000593967579,51.803249081924015,52.02742195979952,43.946036663293505,40.63728931392488,51.324595731649275,52.2534134132463,49.2983973842272,47.656552537824616,56.87988566066326,47.37706769814623,46.32576631112348,40.66879666593816,57.68151414081302,58.98789872865421,59.490042650028016,50.41267681018159,57.54113038593916,56.11060301276522,50.28153080794888,45.6266869130101,45.56768798811933,52.70266564396253,41.753383744708906
