"location_name","year","sdi"
"China",1990,0.42
"China",1991,0.424
"China",1992,0.428
"China",1993,0.432
"China",1994,0.436
"China",1995,0.44
"China",1996,0.444
"China",1997,0.448
"China",1998,0.452
"China",1999,0.456
"China",2000,0.46
"China",2001,0.464
"China",2002,0.468
"China",2003,0.472
"China",2004,0.476
"China",2005,0.48
"China",2006,0.484
"China",2007,0.488
"China",2008,0.492
"China",2009,0.496
"China",2010,0.5
"China",2011,0.504
"China",2012,0.508
"China",2013,0.512
"China",2014,0.516
"China",2015,0.52
"China",2016,0.524
"China",2017,0.528
"China",2018,0.532
"China",2019,0.536
"China",2020,0.54
"China",2021,0.544
"Region01",1990,0.458181818181818
"Region01",1991,0.462181818181818
"Region01",1992,0.466181818181818
"Region01",1993,0.470181818181818
"Region01",1994,0.474181818181818
"Region01",1995,0.478181818181818
"Region01",1996,0.482181818181818
"Region01",1997,0.486181818181818
"Region01",1998,0.490181818181818
"Region01",1999,0.494181818181818
"Region01",2000,0.498181818181818
"Region01",2001,0.502181818181818
"Region01",2002,0.506181818181818
"Region01",2003,0.510181818181818
"Region01",2004,0.514181818181818
"Region01",2005,0.518181818181818
"Region01",2006,0.522181818181818
"Region01",2007,0.526181818181818
"Region01",2008,0.530181818181818
"Region01",2009,0.534181818181818
"Region01",2010,0.538181818181818
"Region01",2011,0.542181818181818
"Region01",2012,0.546181818181818
"Region01",2013,0.550181818181818
"Region01",2014,0.554181818181818
"Region01",2015,0.558181818181818
"Region01",2016,0.562181818181818
"Region01",2017,0.566181818181818
"Region01",2018,0.570181818181818
"Region01",2019,0.574181818181818
"Region01",2020,0.578181818181818
"Region01",2021,0.582181818181818
"Region02",1990,0.496363636363636
"Region02",1991,0.500363636363636
"Region02",1992,0.504363636363636
"Region02",1993,0.508363636363636
"Region02",1994,0.512363636363636
"Region02",1995,0.516363636363636
"Region02",1996,0.520363636363636
"Region02",1997,0.524363636363636
"Region02",1998,0.528363636363636
"Region02",1999,0.532363636363636
"Region02",2000,0.536363636363636
"Region02",2001,0.540363636363636
"Region02",2002,0.544363636363636
"Region02",2003,0.548363636363636
"Region02",2004,0.552363636363636
"Region02",2005,0.556363636363636
"Region02",2006,0.560363636363636
"Region02",2007,0.564363636363636
"Region02",2008,0.568363636363636
"Region02",2009,0.572363636363636
"Region02",2010,0.576363636363636
"Region02",2011,0.580363636363636
"Region02",2012,0.584363636363636
"Region02",2013,0.588363636363636
"Region02",2014,0.592363636363636
"Region02",2015,0.596363636363636
"Region02",2016,0.600363636363636
"Region02",2017,0.604363636363636
"Region02",2018,0.608363636363636
"Region02",2019,0.612363636363636
"Region02",2020,0.616363636363636
"Region02",2021,0.620363636363636
