"measure_name","location_name","sex_name","age_name","metric_name","year","val","sdi","upper","lower"
"Incidence","China","Male","<5","Rate",1990,20.9247957438909,0.42,22.3895314459632,19.4600600418185
"Incidence","China","Male","5-9","Rate",1990,30.2681501817766,0.42,32.386920694501,28.1493796690523
"Incidence","China","Male","10-14","Rate",1990,38.6977092400629,0.42,41.4065488868673,35.9888695932585
"Incidence","China","Male","15-19","Rate",1990,48.7456462074844,0.42,52.1578414420083,45.3334509729605
"Incidence","China","Male","20-24","Rate",1990,54.7005555953747,0.42,58.5295944870509,50.8715167036985
"Incidence","China","Male","25-29","Rate",1990,55.8182114601008,0.42,59.7254862623078,51.9109366578937
"Incidence","China","Male","30-34","Rate",1990,63.7385416218425,0.42,68.2002395353714,59.2768437083135
"Incidence","China","Male","35-39","Rate",1990,85.7513889288928,0.42,91.7539861539153,79.7487917038703
"Incidence","China","Male","40-44","Rate",1990,87.1904751228328,0.42,93.2938083814311,81.0871418642345
"Incidence","China","Male","45-49","Rate",1990,88.5522467377116,0.42,94.7509040093514,82.3535894660718
"Incidence","China","Male","50-54","Rate",1990,104.165336707403,0.42,111.456910276921,96.8737631378844
"Incidence","China","Male","55-59","Rate",1990,120.424239492506,0.42,128.853936256981,111.99454272803
"Incidence","China","Male","60-64","Rate",1990,133.677151026089,0.42,143.034551597916,124.319750454263
"Incidence","China","Male","65-69","Rate",1990,127.090041074462,0.42,135.986343949674,118.193738199249
"Incidence","China","Male","70-74","Rate",1990,136.353308878521,0.42,145.898040500018,126.808577257025
"Incidence","China","Male","75-79","Rate",1990,134.029821301759,0.42,143.411908792882,124.647733810635
"Incidence","China","Male","80-84","Rate",1990,158.244467802063,0.42,169.321580548207,147.167355055919
"Incidence","China","Male","85-89","Rate",1990,157.77861068474,0.42,168.823113432672,146.734107936809
"Incidence","China","Male","90-94","Rate",1990,175.115395497595,0.42,187.373473182426,162.857317812763
"Incidence","China","Male","95+","Rate",1990,185.872563901252,0.42,198.883643374339,172.861484428164
"Incidence","China","Male","Age-standardized","Rate",1990,60.7665857068617,0.42,65.020246706342,56.5129247073814
"Incidence","China","Male","All ages","Number",1990,8239.95173336309,0.42,8816.74835469851,7663.15511202768
"Incidence","China","Male","<5","Rate",1991,23.4819805992612,0.424,25.1257192412095,21.8382419573129
"Incidence","China","Male","5-9","Rate",1991,29.5974854881725,0.424,31.6693094723445,27.5256615040004
