# synthetic, for demo only -- generated by 578_spatialex_omics_translation.py
cell_id,HE000,HE001,HE002,HE003,HE004,HE005,HE006,HE007,HE008,HE009,HE010,HE011,HE012,HE013,HE014,HE015,HE016,HE017,HE018,HE019,HE020,HE021,HE022,HE023,HE024,HE025,HE026,HE027,HE028,HE029,HE030,HE031,HE032,HE033,HE034,HE035,HE036,HE037,HE038,HE039,HE040,HE041,HE042,HE043,HE044,HE045,HE046,HE047,HE048,HE049,HE050,HE051,HE052,HE053,HE054,HE055,HE056,HE057,HE058,HE059,HE060,HE061,HE062,HE063
S1_C0000,-2.6389,1.6044,-2.9419,2.2489,-1.8341,1.9564,-0.3587,-0.8703,0.9752,2.367,0.7282,-0.4854,-3.3532,-1.3299,0.1001,0.8158,0.7305,-2.4656,0.2496,-3.608,3.1156,-1.3084,0.2843,0.2776,2.3981,0.3389,-0.026,-2.9279,-1.6233,2.6533,-4.2447,-1.0771,-0.8667,0.9285,-0.7763,-1.0487,0.1157,-0.3823,-0.5149,1.9589,-3.1846,-1.1569,3.5432,1.4192,2.9626,1.819,2.4177,-2.0124,-0.7554,2.3162,-1.2441,-0.9736,0.4695,-0.0627,-1.901,-4.5014,-1.049,0.3539,0.8481,-0.8319,-1.9427,-2.4444,1.4145,-2.0693
S1_C0001,-0.802,1.0683,0.9529,-5.796,-1.3064,0.6767,2.8585,-0.26,2.9174,-1.1904,4.2237,-2.9227,6.9646,3.6167,0.3036,-2.0785,0.6306,-0.2116,0.9845,-2.8876,6.3579,-0.2081,10.8917,-2.6604,3.0597,0.8136,4.3337,-8.8495,6.2368,3.5855,11.2665,-2.3036,3.4541,-4.4766,-0.0491,3.4383,2.9848,0.6988,3.5042,1.5385,0.8792,-1.5245,3.4469,-3.5216,-4.5126,3.52,-4.5333,9.2864,-1.4926,1.5505,1.9606,4.069,-2.2245,-7.1353,7.8147,1.4393,-9.4084,2.9108,-4.6865,-4.5437,-4.013,3.6972,-1.4595,-2.6166
S1_C0002,-0.1361,-0.5675,-3.1891,-1.4071,3.5083,-0.5914,-0.3642,-1.3516,-1.9117,-0.075,-0.9365,-1.2516,-1.9719,-0.8283,0.2575,1.271,1.7549,-2.7747,0.5293,-3.3785,-3.2444,-3.0898,-2.7696,0.5417,-1.7053,-1.6998,-0.4393,3.3197,0.5766,0.0717,-4.0678,4.6944,-2.9003,-0.3541,2.0708,0.2321,-1.9224,0.9372,-1.2067,1.238,-1.738,0.7337,-0.424,2.933,2.5568,-1.6815,5.0986,-5.4821,0.082,-0.2625,-3.097,-0.6606,0.469,3.901,-4.4268,-2.9813,4.9136,2.6368,2.6198,5.8585,0.2818,-1.4304,-1.0019,0.9827
S1_C0003,0.6838,2.2706,0.1911,-0.1359,-5.7983,-4.4444,0.9032,-0.6014,-3.3442,-3.1387,-0.1804,2.4814,-1.4078,0.7315,-2.1558,-3.9739,-2.6774,-1.1005,3.0122,5.0057,1.859,-6.9922,-3.0613,1.8406,3.3565,-3.7724,3.1165,9.9436,-3.3025,0.2387,4.4505,1.2708,-3.2302,3.0315,0.1781,0.7143,-5.5531,-2.6776,-2.7695,-0.1637,-4.451,-3.611,-0.0285,1.1331,2.8797,3.0515,-2.7372,2.9221,3.4477,-6.1198,5.5814,-5.2526,0.1774,0.2368,-3.3968,0.3198,-1.4352,-1.6191,1.3355,-1.0235,2.2298,4.098,8.3782,0.5843
S1_C0004,-2.6077,-1.8605,1.9584,-3.2754,4.9546,2.1996,-0.247,-0.4854,3.6038,5.1257,1.7645,0.9184,-5.4866,2.5844,-2.8121,5.6364,3.4313,-2.5097,-4.417,-6.8535,-0.1204,0.8983,-0.1963,-2.403,-1.2738,5.5986,4.0885,-10.5065,0.7205,5.4633,-2.0852,-6.6692,5.8061,-1.7621,-3.988,0.0384,3.9953,-0.574,0.2429,-0.7613,0.5129,-4.6696,4.3812,2.8445,5.166,5.0206,8.2752,4.3651,-5.9006,3.557,-5.8321,1.0709,-0.3558,-2.5989,1.1442,-7.3371,-0.1462,5.6439,-3.9808,-1.8107,-0.224,0.3022,-5.948,-2.4713
S1_C0005,0.2143,0.9388,-0.6734,-1.3615,-3.4716,-0.8705,-1.367,-2.0222,-5.4315,-2.4373,-0.6022,-0.8469,0.7465,-1.7703,0.493,-3.4879,-2.1012,0.4466,3.1188,4.1455,1.2606,-3.9149,-0.5557,0.0823,0.801,-1.1719,-1.3712,4.0398,-0.4999,-0.0597,0.084,3.7963,-1.972,1.7392,3.0023,3.1334,-4.6969,-2.775,-1.3739,2.5071,-5.472,1.0806,-2.6358,0.4202,3.0889,-1.1906,-2.425,-1.8451,4.2288,-3.4743,3.994,0.3789,0.2675,0.9558,-4.4364,-0.7241,1.3292,-2.5278,0.6954,0.9749,0.1214,0.9007,5.1928,2.6655
S1_C0006,-0.1011,-0.3255,-1.1317,1.4341,1.6498,-8.646,-0.1046,-2.0185,-2.9447,-2.7294,1.8491,-1.4192,-3.1261,1.1456,1.8598,-1.1065,-1.8884,-6.071,4.7536,-0.9848,0.4922,-9.1971,-2.6061,2.3352,0.3063,-5.7701,0.8566,8.1224,-2.5626,2.9981,1.3465,4.737,-6.8688,0.9889,0.0435,-0.9701,-3.4433,0.6335,-3.1183,2.9634,-12.0307,-2.6924,-2.5763,4.0292,4.6874,2.1043,1.7718,-5.2562,0.1505,-7.5399,2.0203,-5.856,-1.6246,4.1061,-5.5718,-3.0217,5.536,-1.1347,3.9409,1.8445,1.0068,2.4691,4.267,2.4865
S1_C0007,-2.5251,-0.4433,-6.6826,-3.0956,-3.5477,3.8159,-0.371,-5.3846,-3.6839,1.9324,-1.1326,0.7342,7.0414,-7.0237,2.4772,-2.7511,-1.3128,0.1553,-2.618,3.9622,-0.6188,-0.8543,-5.418,-0.591,-0.479,-3.4142,1.5342,1.1295,1.1434,-5.8171,-6.8327,1.8981,-1.8368,4.7006,5.6656,1.0562,-5.5169,1.7454,3.2233,3.1196,3.6635,0.9507,-3.3276,-2.2536,7.821,-4.1808,9.0336,-6.7072,-0.1104,0.6739,-3.219,4.6024,-6.1501,2.7327,-3.8358,-7.7618,3.0637,0.2296,4.7254,11.2987,2.9263,4.4567,-2.1328,0.2179
S1_C0008,1.7233,-0.3319,-1.2281,4.3,1.1636,-6.8825,1.2107,0.0408,0.4586,0.5051,2.8753,-3.1565,-0.5122,3.1251,-2.1627,1.5932,0.6492,-5.8739,0.361,-5.4889,0.2828,-4.394,3.2165,1.0457,1.8165,-1.2597,1.0745,4.4554,1.3801,2.3405,0.7797,2.9549,-0.7368,-1.5088,-1.2263,-3.7629,0.3762,1.6873,-3.1022,0.1916,-3.1395,-0.2483,1.4799,-1.3601,-3.1615,4.3317,-4.2825,-0.394,0.0246,-0.9645,0.0314,-4.5652,2.7982,-0.896,-0.0939,0.764,0.7013,-0.6609,-0.9748,-3.021,-3.6491,0.3346,-1.4363,-1.2923
S1_C0009,-2.652,-2.6165,-0.231,0.7037,5.5995,1.0998,-1.2127,-1.7309,0.5719,0.0068,-1.112,-0.1915,0.5647,-3.0001,1.1837,1.6876,-0.2863,-2.6829,-0.7621,2.9984,-6.1331,1.362,-3.4862,3.8183,-4.7193,0.5624,-1.8778,3.4079,-1.9963,-2.6304,-6.5024,2.25,-2.5839,0.2972,3.4881,-2.2176,-1.3737,1.1296,2.4537,-1.0384,1.343,0.2889,-4.4987,2.9283,2.7555,-6.2649,5.7966,-6.084,-2.4708,-0.3763,-0.7931,-0.308,-0.6924,4.477,-1.7635,-1.806,7.0106,3.1142,3.3193,5.5489,4.714,-1.8025,-3.4716,1.4725
