# synthetic, for demo only -- generated by 578_spatialex_omics_translation.py
cell_id,x,y
S1_C0000,6.6133,49.3682
S1_C0001,1485.0804,367.7167
S1_C0002,61.2414,939.0147
S1_C0003,827.4616,583.2773
S1_C0004,1099.9978,1405.4744
S1_C0005,594.5329,562.9887
S1_C0006,771.275,351.7141
S1_C0007,260.9609,583.0215
S1_C0008,1015.5285,22.155
S1_C0009,207.5929,1212.1622
S1_C0010,498.2179,838.7339
S1_C0011,83.2405,826.1603
S1_C0012,41.6071,310.8877
S1_C0013,671.8452,785.7185
S1_C0014,187.9626,688.555
S1_C0015,1170.7253,1058.6811
S1_C0016,553.6195,744.217
S1_C0017,1198.5042,394.7641
S1_C0018,210.3307,1453.5108
S1_C0019,1309.511,1311.2818
S1_C0020,715.7584,53.0281
S1_C0021,1114.4453,1185.2368
S1_C0022,1447.6962,53.6708
S1_C0023,1219.2175,505.1972
S1_C0024,999.8846,1350.8404
S1_C0025,377.4272,1490.1423
S1_C0026,56.773,172.0734
S1_C0027,721.0166,1078.4262
S1_C0028,1389.7409,1270.9072
S1_C0029,1455.77,662.038
S1_C0030,609.4731,884.1751
S1_C0031,1037.9235,1354.3217
S1_C0032,888.0351,1358.9519
S1_C0033,623.5175,1157.0377
S1_C0034,1497.1012,118.1546
S1_C0035,1060.8661,1354.7398
S1_C0036,1341.7364,1309.1379
S1_C0037,418.1207,609.4514
S1_C0038,762.145,1454.5092
S1_C0039,398.3439,990.7442
S1_C0040,1139.6687,220.0323
S1_C0041,1305.5157,757.8435
S1_C0042,1434.4438,1334.5367
S1_C0043,1421.1585,274.2269
S1_C0044,1251.9736,1294.229
S1_C0045,1420.9175,974.3206
S1_C0046,552.7981,880.3381
S1_C0047,236.8231,1494.2793
S1_C0048,1083.33,509.3351
S1_C0049,1378.3121,1068.5863
S1_C0050,499.6868,1394.0768
S1_C0051,486.5128,479.9415
S1_C0052,44.587,1051.3621
S1_C0053,162.0024,73.0084
S1_C0054,984.1016,1452.5328
S1_C0055,96.2644,1139.7702
S1_C0056,342.9907,1291.8496
S1_C0057,18.2164,291.2239
S1_C0058,1462.7179,863.0857
S1_C0059,197.5787,7.079
S1_C0060,613.5483,651.6397
S1_C0061,799.2051,1021.1969
S1_C0062,230.9627,477.5441
S1_C0063,79.4786,1494.7558
S1_C0064,635.7755,1017.7277
S1_C0065,427.8948,213.3268
S1_C0066,290.3018,22.7855
S1_C0067,1032.4179,1484.5343
S1_C0068,137.4014,247.86
S1_C0069,1202.5452,954.5834
S1_C0070,1421.6997,547.0681
S1_C0071,642.0935,429.6038
S1_C0072,1206.5838,281.2745
S1_C0073,569.7013,989.0971
S1_C0074,1370.0762,1219.2444
S1_C0075,127.4439,1296.1192
S1_C0076,1186.9885,706.1016
S1_C0077,830.6649,664.8199
S1_C0078,83.1935,480.4229
S1_C0079,1369.6268,897.9574
S1_C0080,147.2728,827.1614
S1_C0081,927.6467,1216.8579
S1_C0082,872.3786,302.0157
S1_C0083,1454.8927,444.3973
S1_C0084,1088.0459,1031.5882
S1_C0085,1384.9151,1147.5403
S1_C0086,581.5574,72.0261
S1_C0087,984.5067,17.828
S1_C0088,78.6044,34.7419
S1_C0089,859.6957,1181.1638
S1_C0090,105.3781,478.9447
S1_C0091,568.7693,1349.1471
S1_C0092,969.5041,607.1265
S1_C0093,1383.0131,1030.6968
S1_C0094,1008.3697,1068.1399
S1_C0095,812.7418,701.2478
S1_C0096,1458.7374,857.7405
S1_C0097,609.2964,140.364
S1_C0098,288.389,1474.9344
S1_C0099,1442.5569,4.4642
S1_C0100,116.6927,1018.3357
S1_C0101,327.0249,995.4795
S1_C0102,314.733,595.264
S1_C0103,488.8293,369.7255
S1_C0104,1162.6716,455.7207
S1_C0105,1371.9827,283.0812
