# synthetic, for demo only -- generated by 578_spatialex_omics_translation.py
cell_id,PanelA_00,PanelA_01,PanelA_02,PanelA_03,PanelA_04,PanelA_05,PanelA_06,PanelA_07,PanelA_08,PanelA_09,PanelA_10,PanelA_11,PanelA_12,PanelA_13,PanelA_14,PanelA_15,PanelA_16,PanelA_17,PanelA_18,PanelA_19,PanelA_20,PanelA_21,PanelA_22,PanelA_23,PanelA_24,PanelA_25,PanelA_26,PanelA_27,PanelA_28,PanelA_29
S2_C0000,0.6931,0.6931,3.0445,2.1972,1.6094,3.091,1.6094,2.4849,0.6931,1.6094,0.0,0.0,0.0,1.6094,0.0,1.9459,3.0445,0.6931,0.6931,1.0986,0.0,0.0,1.0986,0.0,1.7918,0.0,5.2257,0.6931,1.6094,3.4012
S2_C0001,1.9459,2.9957,0.6931,2.5649,1.7918,2.0794,1.3863,0.0,1.9459,1.9459,0.6931,0.0,5.1299,0.6931,1.0986,1.0986,4.7362,1.3863,4.0073,1.3863,4.7185,3.5264,3.6376,0.0,2.3979,1.6094,0.0,2.1972,1.9459,1.6094
S2_C0002,1.0986,1.0986,2.6391,2.4849,1.0986,4.2767,0.6931,2.5649,2.0794,0.0,0.0,1.3863,0.6931,0.0,0.6931,2.1972,2.9957,1.0986,2.5649,0.0,0.0,1.6094,0.6931,0.0,1.6094,1.0986,4.6151,1.0986,0.0,2.8904
S2_C0003,0.0,0.6931,1.9459,0.0,0.6931,2.9444,0.6931,1.7918,1.3863,1.0986,0.0,2.6391,2.9444,0.0,0.0,1.0986,0.0,0.6931,3.7136,1.0986,0.0,0.6931,0.6931,2.3979,2.3979,2.4849,1.7918,2.7726,0.6931,2.6391
S2_C0004,1.7918,3.8286,0.6931,1.3863,0.6931,1.7918,0.6931,1.0986,1.7918,1.7918,0.0,0.0,5.2364,0.6931,1.0986,1.0986,4.6052,1.7918,4.7274,1.3863,5.3566,4.3438,4.1897,0.0,1.7918,1.0986,0.0,1.9459,0.6931,0.6931
S2_C0005,1.6094,0.6931,1.3863,1.6094,1.7918,0.0,1.0986,1.3863,0.0,1.6094,0.6931,0.6931,0.0,2.9444,0.6931,0.6931,1.3863,0.6931,0.0,0.6931,0.0,0.6931,3.0445,1.7918,1.3863,1.0986,2.6391,1.0986,1.0986,2.8332
S2_C0006,0.6931,0.0,2.1972,0.0,0.0,3.434,1.3863,2.4849,1.3863,0.0,0.0,2.0794,3.3673,0.0,1.3863,1.0986,2.0794,0.6931,3.8286,0.6931,0.0,1.0986,0.6931,0.6931,1.7918,1.9459,1.0986,2.5649,0.6931,2.0794
S2_C0007,0.6931,2.3026,2.0794,0.6931,1.3863,0.0,0.0,0.6931,1.9459,1.3863,1.0986,1.9459,4.1897,2.3979,3.8712,1.0986,1.7918,0.0,1.9459,1.0986,0.0,1.3863,1.7918,0.6931,0.0,1.0986,1.6094,1.7918,1.6094,0.6931
S2_C0008,5.0938,0.6931,1.6094,1.0986,1.3863,4.7791,0.6931,2.5649,0.6931,1.0986,1.0986,1.7918,0.6931,0.6931,1.0986,1.3863,0.0,2.8332,1.3863,1.3863,2.7726,0.6931,0.0,2.3026,1.0986,0.6931,2.0794,1.0986,3.1781,0.6931
S2_C0009,2.9957,0.6931,1.3863,0.6931,1.3863,0.6931,0.0,1.0986,0.0,1.0986,0.0,0.6931,0.0,2.3026,0.0,1.6094,0.0,1.3863,0.0,1.7918,0.0,0.0,0.6931,2.5649,1.0986,0.0,2.8332,0.6931,1.6094,0.0
S2_C0010,0.0,3.2958,2.0794,0.0,2.0794,0.6931,1.0986,1.6094,0.6931,2.4849,3.6636,0.0,0.0,5.3375,2.9444,1.3863,3.2581,2.6391,0.0,2.3979,0.6931,0.0,0.0,3.3673,0.6931,1.3863,1.0986,0.0,0.6931,0.0
S2_C0011,0.6931,3.2189,0.0,1.9459,1.3863,1.3863,1.7918,0.6931,0.6931,1.3863,2.3026,0.6931,1.6094,0.6931,0.6931,0.0,2.1972,1.7918,2.6391,1.3863,2.5649,1.0986,2.4849,1.9459,1.3863,0.0,0.0,0.6931,0.6931,0.6931
S2_C0012,0.0,1.3863,1.0986,0.0,0.0,1.0986,1.7918,0.0,1.6094,0.6931,0.0,1.9459,3.7612,0.0,2.0794,0.6931,4.5326,0.6931,2.6391,1.9459,0.6931,0.6931,2.1972,1.6094,1.6094,2.3026,1.6094,2.0794,1.0986,0.6931
S2_C0013,0.0,0.6931,2.0794,1.3863,1.0986,0.6931,1.0986,2.0794,0.6931,1.0986,1.3863,2.7726,0.0,0.6931,0.0,1.7918,0.0,0.0,2.0794,0.6931,0.0,1.0986,1.6094,3.2581,1.7918,1.6094,2.1972,1.3863,0.6931,2.8332
S2_C0014,2.1972,0.0,1.9459,1.0986,1.6094,0.6931,1.0986,1.3863,0.6931,2.3026,0.0,1.6094,0.0,1.9459,0.6931,0.6931,1.3863,2.0794,0.0,0.6931,0.0,0.0,1.7918,2.5649,1.3863,0.6931,3.912,0.6931,2.0794,0.6931
S2_C0015,5.0689,0.0,1.3863,1.3863,1.0986,4.3438,0.0,2.3979,2.1972,1.0986,1.6094,0.6931,0.6931,0.0,0.6931,1.0986,0.6931,2.6391,1.7918,1.3863,1.9459,0.6931,0.0,2.5649,1.6094,1.0986,1.9459,0.0,2.3026,0.0
S2_C0016,1.6094,0.0,2.7726,1.3863,1.0986,1.3863,1.0986,1.7918,0.0,1.0986,1.0986,1.3863,0.0,2.3026,0.6931,1.3863,2.3979,0.0,0.0,1.3863,0.0,0.0,0.0,1.0986,0.6931,0.6931,4.8283,1.0986,0.0,2.3026
S2_C0017,1.7918,1.0986,3.434,2.9957,1.9459,5.3375,1.7918,3.1355,1.9459,1.3863,0.6931,1.0986,0.0,1.0986,0.0,2.3026,3.6636,0.6931,1.9459,0.6931,0.0,0.6931,0.0,0.0,1.3863,1.3863,5.3566,0.6931,0.0,3.3673
S2_C0018,1.0986,1.7918,0.0,0.0,1.0986,0.0,1.0986,0.6931,1.6094,1.3863,1.6094,1.0986,4.5326,1.6094,3.9512,1.3863,2.0794,1.0986,1.3863,1.0986,1.3863,1.3863,1.3863,1.6094,0.0,1.9459,1.3863,1.7918,1.3863,0.0
S2_C0019,4.0604,0.0,0.0,1.7918,1.6094,5.273,1.6094,2.3979,3.2958,1.0986,0.0,0.0,2.5649,0.0,0.0,1.3863,1.9459,1.6094,3.5835,1.0986,3.6109,3.0445,0.0,0.0,1.0986,1.3863,0.6931,1.0986,2.1972,0.6931
S2_C0020,0.0,2.8904,1.0986,2.3026,1.6094,0.6931,1.6094,0.0,1.3863,1.0986,2.3979,1.6094,0.6931,1.3863,0.0,0.0,1.0986,1.3863,1.3863,1.7918,0.6931,0.6931,1.3863,3.2581,1.0986,0.6931,0.0,1.0986,1.0986,1.3863
S2_C0021,0.6931,4.1589,1.3863,1.0986,2.3026,0.0,0.6931,1.0986,1.0986,2.0794,3.8067,1.3863,0.0,4.654,1.6094,0.6931,3.6109,2.1972,0.0,2.5649,0.6931,0.0,1.6094,2.5649,1.6094,0.0,0.6931,0.0,0.0,0.6931
S2_C0022,2.0794,2.7081,1.0986,0.6931,0.0,2.8904,1.7918,0.6931,2.3979,2.3026,0.0,0.6931,2.8332,1.0986,1.3863,0.6931,4.9904,1.9459,2.8904,1.3863,2.1972,2.3026,1.7918,0.0,1.6094,0.6931,0.0,1.0986,1.0986,1.3863
