# synthetic, for demo only -- generated by 578_spatialex_omics_translation.py
cell_id,PanelB_00,PanelB_01,PanelB_02,PanelB_03,PanelB_04,PanelB_05,PanelB_06,PanelB_07,PanelB_08,PanelB_09,PanelB_10,PanelB_11,PanelB_12,PanelB_13,PanelB_14,PanelB_15,PanelB_16,PanelB_17,PanelB_18,PanelB_19,PanelB_20,PanelB_21,PanelB_22,PanelB_23,PanelB_24,PanelB_25,PanelB_26,PanelB_27,PanelB_28,PanelB_29
S2_C0000,0.0,4.4427,0.0,0.0,3.6889,3.7612,2.7081,0.6931,3.4965,1.9459,1.9459,0.0,1.0986,0.6931,2.5649,1.3863,1.6094,0.0,2.8332,0.0,4.2341,1.3863,2.8904,0.0,0.6931,0.0,1.3863,2.5649,1.6094,1.9459
S2_C0001,5.247,1.0986,0.0,2.6391,1.0986,2.9957,0.6931,1.0986,1.3863,1.7918,2.8332,0.6931,0.6931,1.3863,2.7726,0.6931,5.3083,2.6391,2.3026,3.9512,0.6931,1.6094,1.9459,1.7918,0.0,1.6094,1.0986,1.7918,0.6931,0.6931
S2_C0002,0.0,1.3863,0.0,1.3863,0.0,4.3567,3.1781,0.6931,2.6391,2.8904,2.3026,1.3863,0.0,1.3863,4.6821,1.6094,2.3979,2.8332,1.9459,0.0,3.2958,0.6931,2.3026,1.3863,0.6931,0.6931,0.6931,1.9459,1.3863,1.0986
S2_C0003,0.0,0.0,0.0,1.6094,0.0,0.0,4.5109,2.3979,0.6931,4.0073,3.2189,1.3863,0.6931,0.6931,0.0,0.0,2.0794,0.0,1.6094,0.0,0.0,2.6391,0.6931,1.6094,1.0986,2.7726,1.0986,0.6931,0.6931,0.0
S2_C0004,5.1648,0.0,1.6094,3.2189,0.6931,3.2189,0.0,0.6931,1.0986,0.0,3.4965,0.6931,0.6931,0.0,2.5649,1.0986,5.3706,2.1972,1.7918,4.0943,1.7918,2.0794,1.3863,1.7918,1.3863,1.6094,1.0986,1.6094,1.0986,0.6931
S2_C0005,0.0,2.0794,1.0986,1.3863,4.1431,1.7918,1.0986,1.0986,2.1972,1.3863,0.6931,1.0986,0.0,0.0,0.0,2.5649,0.6931,1.7918,2.0794,2.0794,0.0,1.3863,1.6094,1.0986,0.6931,0.0,0.6931,1.3863,1.0986,1.0986
S2_C0006,0.0,0.0,0.0,1.6094,0.0,0.0,3.2958,1.3863,0.6931,3.9512,3.0445,0.6931,0.0,1.6094,0.0,0.0,2.7726,0.0,1.6094,0.0,0.0,2.3979,1.3863,1.7918,1.3863,2.3979,1.0986,0.0,1.0986,0.0
S2_C0007,1.6094,0.0,1.7918,1.7918,1.7918,1.3863,1.9459,0.6931,1.3863,0.6931,2.3026,1.0986,0.0,1.6094,1.7918,1.3863,0.6931,0.0,0.0,1.6094,1.6094,0.0,0.6931,1.0986,0.6931,2.4849,1.6094,1.0986,0.0,1.7918
S2_C0008,1.0986,5.112,0.6931,0.0,0.0,0.6931,0.6931,0.6931,1.6094,2.9444,0.6931,1.7918,3.2581,2.4849,2.8332,1.0986,3.434,2.1972,1.0986,3.2189,3.3673,0.6931,0.6931,1.3863,3.0445,1.7918,0.6931,0.6931,4.1744,1.0986
S2_C0009,0.0,5.366,0.0,0.0,4.7185,0.0,1.3863,0.6931,2.1972,1.7918,0.0,1.0986,1.6094,2.0794,0.0,1.3863,0.0,1.0986,3.5553,2.8332,2.3979,1.6094,1.3863,0.0,1.6094,1.0986,1.0986,0.6931,1.7918,1.3863
S2_C0010,0.6931,3.9512,1.3863,0.0,4.1744,1.9459,1.0986,1.3863,1.7918,0.0,0.0,1.7918,1.9459,2.5649,1.3863,2.9444,0.0,0.0,2.0794,0.6931,2.9957,0.6931,1.3863,1.6094,1.3863,1.3863,1.7918,1.7918,0.6931,4.3438
S2_C0011,2.8904,0.6931,2.3026,0.6931,0.6931,1.3863,1.0986,1.9459,1.0986,0.6931,1.6094,1.6094,1.0986,0.0,0.6931,1.0986,2.1972,0.6931,1.0986,1.9459,1.0986,0.6931,1.6094,0.0,1.0986,1.3863,2.1972,0.6931,0.0,0.6931
S2_C0012,0.0,0.0,0.0,2.5649,1.3863,0.6931,1.0986,1.7918,0.6931,3.7612,3.0445,0.6931,0.0,1.6094,0.6931,0.0,1.3863,0.0,1.7918,0.0,0.0,0.6931,1.3863,1.3863,0.0,2.3979,0.6931,1.3863,0.6931,0.0
S2_C0013,0.6931,0.0,0.0,0.6931,0.6931,0.0,3.7612,2.3026,1.0986,1.3863,2.9444,0.6931,0.6931,1.0986,0.0,0.0,1.0986,0.6931,1.7918,0.0,0.0,2.4849,1.9459,0.0,0.0,2.0794,1.0986,0.6931,0.6931,0.0
S2_C0014,0.0,5.2883,0.0,0.0,5.0689,0.6931,0.6931,0.6931,1.7918,2.7726,0.6931,1.6094,1.3863,2.4849,0.0,1.7918,0.0,0.0,3.6889,1.7918,2.5649,1.9459,1.9459,0.6931,0.6931,0.6931,1.3863,1.9459,1.9459,2.0794
S2_C0015,1.3863,5.3706,1.9459,0.0,0.0,1.3863,1.3863,0.0,1.6094,2.7081,0.6931,1.9459,3.0445,1.7918,3.3673,0.0,2.9957,2.3026,2.4849,3.2581,3.3673,1.9459,1.0986,2.0794,2.7081,1.9459,0.0,1.3863,3.6889,1.9459
S2_C0016,0.0,5.2679,0.0,0.0,5.0814,1.7918,1.3863,0.6931,2.6391,2.5649,0.6931,0.0,1.6094,2.3026,0.6931,0.6931,0.0,0.6931,3.5835,1.0986,3.4965,0.6931,2.0794,0.0,0.0,0.0,0.0,2.1972,1.7918,1.9459
S2_C0017,0.0,3.3322,0.0,1.0986,1.6094,5.0562,3.6376,0.0,3.8067,3.091,1.9459,1.0986,0.0,1.3863,5.366,1.9459,3.2189,2.9444,1.0986,0.6931,4.5109,0.6931,2.6391,0.6931,1.0986,0.6931,0.0,2.7081,2.3026,2.0794
S2_C0018,2.3026,0.6931,1.9459,2.0794,1.9459,1.0986,0.0,0.6931,1.0986,0.0,1.3863,2.0794,0.6931,1.7918,1.6094,1.6094,0.0,0.0,0.6931,1.6094,0.6931,1.0986,1.0986,2.1972,1.3863,1.0986,0.6931,1.0986,1.3863,0.6931
S2_C0019,1.6094,2.5649,1.0986,1.9459,0.0,3.6109,1.9459,0.6931,2.9444,2.3026,1.0986,1.7918,1.7918,1.6094,5.2575,1.0986,5.2679,3.9512,1.6094,1.3863,2.7081,1.3863,0.6931,1.3863,2.6391,0.6931,1.0986,1.0986,3.7842,0.6931
S2_C0020,1.0986,0.0,2.8332,0.0,0.6931,0.0,2.0794,1.7918,1.0986,0.0,2.3026,0.6931,1.6094,0.0,0.6931,2.1972,0.6931,0.6931,2.0794,1.3863,0.0,1.6094,1.0986,1.3863,1.3863,1.7918,2.3979,1.0986,0.6931,0.0
S2_C0021,0.0,2.1972,2.0794,0.0,3.6636,1.0986,0.0,0.6931,1.0986,0.0,1.3863,1.7918,1.7918,1.3863,0.0,3.1355,0.0,0.0,1.7918,0.0,0.6931,0.6931,0.6931,1.7918,0.0,0.6931,2.0794,2.0794,0.0,3.2958
S2_C0022,3.3673,0.6931,0.0,1.9459,0.6931,2.9957,0.0,0.6931,1.0986,1.3863,1.9459,0.0,0.6931,0.6931,2.5649,1.9459,3.8712,2.6391,1.0986,2.5649,0.0,0.6931,2.0794,0.6931,0.0,0.6931,1.0986,1.3863,1.6094,1.6094
S2_C0023,1.0986,3.4965,1.6094,0.0,3.4965,1.7918,0.0,0.6931,1.6094,1.0986,0.6931,0.6931,2.4849,1.0986,1.0986,2.7081,0.0,0.6931,1.6094,0.0,3.6376,0.0,0.0,1.3863,1.0986,1.0986,1.7918,1.3863,0.0,4.5643
S2_C0024,2.1972,0.0,4.2047,1.0986,0.0,0.6931,3.8067,2.4849,1.3863,0.0,2.0794,1.0986,2.8332,0.0,1.0986,0.0,2.7081,2.9444,1.0986,1.0986,0.6931,3.5553,1.0986,0.0,2.1972,2.1972,1.3863,1.6094,0.0,0.0
S2_C0025,0.6931,0.0,0.0,2.5649,1.0986,0.6931,1.3863,1.6094,0.6931,3.2581,2.9957,0.0,0.0,1.7918,1.0986,0.6931,1.0986,0.6931,1.0986,0.0,1.0986,0.0,1.0986,0.6931,0.6931,1.0986,0.6931,1.0986,0.0,1.0986
