"group","value"
"Healthy",2.95967091300267
"Healthy",1.60471128002274
"Healthy",2.25418988793614
"Healthy",2.44300382347273
"Healthy",2.2829878261987
"Healthy",1.92571283873596
"Healthy",3.05806539820726
"Healthy",1.93373867311083
"Healthy",3.41289659971393
"Healthy",1.95610013066331
"Healthy",2.91340875795644
"Healthy",3.60065177489077
"Healthy",1.02779750922136
"Healthy",1.80484786322784
"Healthy",1.90667506452444
"Healthy",2.44516527864905
"Healthy",1.80102295500875
"Healthy",0.140481205366657
"Healthy",0.291673149997137
"Healthy",2.92407934201113
"Healthy",1.78535298414507
"Healthy",0.753084096214
"Healthy",1.87965785096827
"Healthy",2.85027228942082
"Healthy",3.32663542288548
"Healthy",1.69867160787566
"Healthy",1.81991143206175
"Healthy",0.765785840363654
"Healthy",2.32206814838189
"Healthy",1.55200358682792
"Healthy",2.31881508626885
"Healthy",2.49338613606017
"Healthy",2.72457246537895
"Healthy",1.57375153721495
"Healthy",2.35346858630858
"Healthy",0.79809392464866
"Healthy",1.45087869413435
"Healthy",1.40436468407644
"Healthy",0.310054645037358
"Healthy",2.02528582482458
"Healthy",2.14419902014018
"Healthy",1.74725989101593
"Healthy",2.53071426498966
"Healthy",1.4913066210464
"Healthy",1.04220326890649
"Healthy",2.3029726181221
"Healthy",1.43202477666933
"Healthy",3.01087088320488
"Healthy",1.69798765817066
"Healthy",2.45895351838154
"Healthy",2.22534768564276
"Healthy",1.45131274138374
"Healthy",3.10300926385438
"Healthy",2.45002951400212
"Healthy",2.06283245261972
"Healthy",2.19358552310402
"Healthy",2.47550217123869
"Healthy",2.06288302060536
"Healthy",-0.0951630582070542
"Healthy",2.19941806747146
"Healthy",1.74293575008132
"Healthy",2.12966139540593
"Healthy",2.40727660915585
"Healthy",2.97981577910487
"Healthy",1.49089555836787
"Healthy",2.9117798424309
"Healthy",2.23509368382645
"Healthy",2.72695426908833
"Healthy",2.64450999780345
"Healthy",2.5046147140068
"Healthy",1.2698167430025
"Healthy",1.93686952937251
"Healthy",2.43646271339968
"Healthy",1.33253364955936
"Healthy",1.6200198297983
"Healthy",2.40669754837718
"Healthy",2.53772511648421
"Healthy",2.32463731197812
"Healthy",1.37995659181322
"Healthy",1.2301533709465
"Stage I",4.56143630882444
"Stage I",3.43212929377883
"Stage I",3.27959620624363
"Stage I",3.09119311621482
"Stage I",2.12510399435552
"Stage I",3.75079720823635
"Stage I",3.00457413882813
"Stage I",3.03551896430127
"Stage I",4.04001169571404
"Stage I",3.93959579945742
"Stage I",4.45290473834084
"Stage I",2.77144346925079
"Stage I",3.78531370465367
"Stage I",4.451999410751
"Stage I",2.20029000849689
"Stage I",2.42528667180994
"Stage I",2.18143518723161
"Stage I",1.88670740044784
"Stage I",3.27198429791705
"Stage I",3.78788390568427
"Stage I",4.28086883803864
"Stage I",4.14027597845095
"Stage I",2.29711221784414
"Stage I",4.86363371150547
"Stage I",2.59990393211796
"Stage I",3.29496243121046
"Stage I",2.81996970631803
"Stage I",3.08988484524053
"Stage I",3.36937373105135
"Stage I",3.30724486219731
"Stage I",3.17741670421934
"Stage I",3.29726545514783
"Stage I",2.763108287738
"Stage I",2.74620458238089
"Stage I",1.70501082807667
"Stage I",2.85589964581356
"Stage I",2.73861476790998
"Stage I",5.63170190031032
"Stage I",1.97409539192925
"Stage I",3.32353059670275
"Stage I",1.85573743941534
"Stage I",1.87660783270688
"Stage I",3.31223214757731
"Stage I",2.30302477860437
"Stage I",3.19835964712576
"Stage I",2.81456700671677
"Stage I",2.64769555419545
"Stage I",1.3777899391228
"Stage I",2.09772684467601
"Stage I",3.36156479700614
"Stage I",3.71085853498118
"Stage I",2.75641038180187
"Stage I",3.20005659565882
"Stage I",4.21060067904197
"Stage I",4.49587016867857
"Stage I",2.21259760843476
"Stage I",3.09441239577484
